Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	32	11.594202898550725	2.8053292770870322E-5	CDKN1C, HDAC4, RARG, LDB1, EHMT2, NOTCH4, LEF1, MAZ, GATA6, GATA3, NR2E1, GLI3, DACH1, SALL2, IFI16, GSC, PRDM16, HOXA7, CRYM, FEZF2, E2F6, TFAP2B, CBX5, PRRX1, NR1H3, TET1, PAX5, HOPX, DNAJA3, RARA, RARB, SIM2	269	1015	19462	2.2809676415111615	0.060063105317655685	0.027683980807020125	0.02757113849394803
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	15	5.434782608695652	3.224269165759133E-5	LYN, GRIA1, HDAC4, TFAP2B, PRKCB, GATA6, CYBA, GATA3, SLC6A3, SLC8A1, DUSP6, RPTOR, GRIN2A, SCN11A, GNA12	269	277	19462	3.917839840027914	0.06871787283401132	0.027683980807020125	0.02757113849394803
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	36	13.043478260869565	3.76141043573643E-5	HDAC4, GCM2, RARG, HLF, MAML2, LDB1, LEF1, GATA6, GATA3, NR2E1, GLI3, SALL2, IFI16, SIX2, PRDM16, STAT4, HOXC4, DPF3, HOXA7, FEZF2, BCAS3, TFAP2B, PRRX1, ANXA2, CDKN2A, NR1H3, WNT7A, TET1, GRHL3, PAX5, RUNX2, PHOX2A, FEV, TLX1, RARA, RARB	269	1232	19462	2.1141070825085695	0.07969809431903052	0.027683980807020125	0.02757113849394803
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	19	6.884057971014493	7.869595162542973E-5	LYN, HDAC4, TFAP2B, RARG, CDKN2A, CXCL1, GATA3, SSTR4, GLI3, APC, DNAJA3, ADORA3, SFRP5, DLC1, RARA, NOX4, RARB, FEZF2, CD200	269	462	19462	2.975409967975024	0.15950770948835535	0.04344016529723721	0.043263099406079995
GOTERM_BP_DIRECT	GO:0042475~odontogenesis of dentin-containing tooth	7	2.536231884057971	1.43202345666021E-4	SCN10A, CCDC154, LEF1, GATA6, SOSTDC1, GLI3, RUNX2	269	58	19462	8.731829252659915	0.2710961298432766	0.051300250272273994	0.05109114599127288
GOTERM_BP_DIRECT	GO:0098703~calcium ion import across plasma membrane	6	2.1739130434782608	1.6509114580785862E-4	SCN10A, SCN11A, ATP2B4, CACNA1A, CACNA1E, SLC8A1	269	38	19462	11.423596165134025	0.30549182296688837	0.051300250272273994	0.05109114599127288
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	9	3.260869565217391	1.712993479514484E-4	CLDN5, GRIN2A, CASP8, PRKCB, EHMT2, RARA, GATA3, SLC6A3, RGS7	269	113	19462	5.762344968253445	0.3149485672033626	0.051300250272273994	0.05109114599127288
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	24	8.695652173913043	1.8587047200099274E-4	LYN, RARG, CAV2, NOTCH4, RARRES2, EYA4, GATA6, NR1H3, GATA3, NR2E1, DUSP6, NLRP14, HCK, FEV, SFRP5, SLCO4C1, GNA12, FGF18, RARA, RARB, CTNNA2, SIM2, AGFG1, ANAPC2	269	725	19462	2.3950160235867197	0.33664178972780523	0.051300250272273994	0.05109114599127288
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	13	4.710144927536232	2.2987717174970272E-4	BCAS3, CALCRL, ANXA2, FLT4, WNT7A, HIF3A, NR2E1, CASP8, COL4A2, FGF18, HOXA7, MFGE8, EPHB1	269	255	19462	3.6884029448210516	0.3980778394256933	0.05592870832570024	0.055700738047198745
GOTERM_BP_DIRECT	GO:0032331~negative regulation of chondrocyte differentiation	5	1.8115942028985508	2.5330030944610614E-4	RARG, EFEMP1, RARB, ADAMTS12, GLI3	269	23	19462	15.728139647648295	0.4284240616186201	0.05592870832570024	0.055700738047198745
